country_of_origin,enwiki_title,genre,made_profit,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent
Q29,Orbiter 9,science fiction,0.0,,2017-04-07,3.1,41.0,60.0,5.5,60.0
United States of America,Eraserhead,drama film,1.0,English,1977-01-01,3.9,83.0,57175.0,8.3,91.0
United States of America,Dances with Wolves,drama film,1.0,English,1990-11-09,3.6,87.0,213360.0,7.5,82.0
United Kingdom,Inception,heist film,1.0,English,2010-07-08,4.2,91.0,568239.0,8.1,86.0
Q16,Mama (2013 film),horror film,1.0,English,2013-01-17,3.4,55.0,143566.0,6.0,65.0
United States of America,The Godfather,drama film,1.0,English,1972-03-15,4.4,98.0,731426.0,9.3,98.0
United States of America,Argo (2012 film),political thriller,1.0,English,2012-01-01,4.2,90.0,207900.0,8.4,96.0
United Kingdom,12 Years a Slave (film),drama film,1.0,English,2013-08-30,4.3,90.0,139374.0,8.9,96.0
United Kingdom,Only Lovers Left Alive,drama film,1.0,English,2013-05-25,3.8,75.0,21114.0,7.4,85.0
United States of America,The Hunger Games: Mockingjay â€“ Part 1,science fiction film,1.0,English,2014-11-20,3.8,71.0,246430.0,6.3,67.0
United States of America,Guardians of the Galaxy (film),action film,1.0,English,2014-07-31,4.4,92.0,252294.0,7.7,91.0
United States of America,Inside Out (2015 film),comedy film,1.0,English,2015-05-18,4.3,89.0,134802.0,8.9,98.0
United States of America,The Conjuring,horror film,1.0,English,2013-06-08,4.0,82.0,158000.0,7.2,86.0
United States of America,A Quiet Place (film),horror film,1.0,English,2018-04-06,4.2,84.0,15178.0,8.1,95.0
United States of America,The SpongeBob Movie: Sponge Out of Water,children's film,1.0,English,2015-01-01,3.3,54.0,51692.0,6.5,80.0
United States of America,August: Osage County (film),drama film,1.0,English,2013-09-09,3.5,65.0,39033.0,6.4,65.0
Q408,The Railway Man (film),war film,0.0,English,2013-01-01,3.6,68.0,15495.0,6.5,67.0
Germany,The Monuments Men,war film,1.0,English,2014-02-07,3.1,44.0,72826.0,5.2,30.0
United Kingdom,About Time (2013 film),science fiction film,1.0,German,2013-09-04,4.0,81.0,57099.0,6.3,68.0
Q408,The Rover (2014 film),post-apocalyptic film,0.0,English,2014-05-18,3.2,51.0,11563.0,6.4,66.0
United States of America,Free Birds,buddy film,1.0,English,2013-10-21,3.1,44.0,40030.0,4.2,19.0
United States of America,The Florida Project,drama film,1.0,English,2017-05-22,3.9,79.0,12103.0,8.7,96.0
United Kingdom,Murder on the Orient Express (2017 film),drama film,1.0,English,2017-11-09,3.4,55.0,23993.0,6.1,57.0
United States of America,All the Money in the World,biographical film,1.0,English,2017-01-01,3.5,67.0,5975.0,6.9,78.0
United States of America,Independence Day: Resurgence,science fiction film,1.0,English,2016-06-23,2.6,30.0,74746.0,4.3,30.0
United Kingdom,Amy (2015 film),documentary film,1.0,English,2015-06-11,4.1,87.0,22029.0,8.4,94.0
United Kingdom,Florence Foster Jenkins (film),biographical film,1.0,English,2016-01-01,3.6,68.0,16669.0,7.1,87.0
United States of America,Guardians of the Galaxy Vol. 2,superhero film,1.0,English,2017-04-25,4.2,88.0,105497.0,7.2,83.0
United States of America,Star Trek Beyond,science fiction film,1.0,English,2016-07-07,3.9,80.0,73794.0,7.0,85.0
United States of America,Hell or High Water (film),heist film,1.0,English,2016-01-01,4.1,88.0,38882.0,8.5,97.0
United States of America,Wonder Woman (2017 film),superhero film,1.0,English,2017-06-01,4.3,88.0,124232.0,7.6,92.0
United Kingdom,The Girl with All the Gifts (film),zombie film,0.0,English,2016-09-23,3.5,66.0,8798.0,7.1,84.0
United States of America,Jumanji: Welcome to the Jungle,adventure film,1.0,English,2017-12-20,4.3,88.0,36653.0,6.1,76.0
United States of America,Jack Reacher: Never Go Back,action film,1.0,English,2016-01-01,3.1,42.0,31443.0,5.2,37.0
United States of America,John Wick: Chapter 2,action film,1.0,English,2017-02-10,4.1,85.0,54183.0,7.2,89.0
United States of America,Get Out,horror film,1.0,English,2017-01-24,4.2,86.0,70587.0,8.3,99.0
United States of America,Only the Brave (2017 film),drama film,0.0,English,2017-09-22,4.3,91.0,12187.0,7.0,87.0
United States of America,Blair Witch (film),horror film,1.0,English,2016-09-16,2.6,31.0,12639.0,5.1,35.0
Italy,Call Me by Your Name (film),LGBT-related film,1.0,English,2017-01-01,4.3,85.0,13129.0,8.7,95.0
United States of America,Heist (2015 film),heist film,0.0,English,2015-01-01,3.1,41.0,1968.0,4.5,29.0
United Kingdom,"Hail, Caesar!",comedy film,1.0,English,2016-02-01,2.9,44.0,40380.0,7.2,85.0
United Kingdom,Spectre (2015 film),thriller film,1.0,English,2015-10-26,3.5,61.0,105323.0,6.4,63.0
Italy,Youth (2015 film),drama film,0.0,English,2015-01-01,3.6,68.0,11149.0,7.0,72.0
United States of America,Steve Jobs (film),biographical film,1.0,English,2015-01-01,3.7,73.0,42597.0,7.6,86.0
United States of America,Assassin's Creed (film),action film,1.0,English,2016-12-21,3.1,43.0,56908.0,4.0,18.0
United States of America,The Danish Girl (film),biographical film,1.0,English,2015-01-01,3.7,72.0,27103.0,6.6,68.0
Q27,Love & Friendship,romantic comedy,1.0,English,2016-05-13,3.5,60.0,20020.0,8.2,97.0
United States of America,Money Monster,drama film,1.0,English,2016-05-26,3.3,51.0,23493.0,6.0,57.0
United States of America,The Big Short (film),biographical film,1.0,English,2015-12-11,4.1,87.0,68198.0,7.8,88.0
United States of America,Sing (2016 American film),musical film,1.0,English,2016-09-11,3.8,73.0,38960.0,6.5,72.0
Q142,Valerian and the City of a Thousand Planets,science fiction film,1.0,English,2017-07-20,3.3,54.0,26926.0,5.5,49.0
United States of America,The Conjuring 2,horror film,1.0,English,2016-06-16,3.9,81.0,53586.0,6.7,79.0
United States of America,Soldier (1998 American film),action film,0.0,English,1998-01-01,2.8,43.0,44237.0,3.5,12.0
United States of America,Windtalkers,action film,0.0,English,2002-08-01,3.2,50.0,66807.0,5.2,32.0
United States of America,Katy Perry: Part of Me,documentary film,1.0,English,2012-06-26,3.8,72.0,47103.0,6.4,75.0
United States of America,The Romantics (film),romantic comedy,0.0,English,2010-01-01,2.5,21.0,14739.0,4.2,14.0
United States of America,The Stepford Wives (2004 film),science fiction film,1.0,English,2004-01-01,2.6,29.0,210650.0,4.7,26.0
Q408,Killer Elite (film),crime film,0.0,English,2011-09-23,3.1,42.0,32361.0,4.7,25.0
United Kingdom,You Will Meet a Tall Dark Stranger,drama film,1.0,English,2010-01-01,2.9,33.0,18851.0,5.4,45.0
United Kingdom,Centurion (film),action film,0.0,English,2010-01-01,3.1,42.0,47682.0,5.5,60.0
United States of America,Analyze That,comedy film,0.0,English,2002-01-01,2.9,39.0,190217.0,4.8,27.0
United Kingdom,The Importance of Being Earnest (2002 film),romantic comedy,1.0,English,2002-05-17,3.4,72.0,32105.0,6.0,57.0
United States of America,The Hole (2009 film),horror film,0.0,English,2009-01-01,3.2,46.0,14687.0,6.4,81.0
United States of America,Before Midnight (film),romance film,1.0,English,2013-01-20,4.0,82.0,37036.0,8.7,98.0
United States of America,Allied (film),Romantic thriller,1.0,English,2016-11-13,3.5,64.0,24995.0,6.2,59.0
United States of America,Logan Lucky,comedy film,1.0,Q7976,2017-08-18,3.7,75.0,26624.0,7.5,93.0
United States of America,Sherlock Gnomes,animated film,0.0,English,2018-03-23,2.7,39.0,1292.0,4.6,29.0
United States of America,Fences (film),drama film,1.0,English,2016-12-25,3.8,75.0,35854.0,7.7,94.0
United States of America,It (2017 film),horror film,1.0,English,2017-09-07,4.1,84.0,63902.0,7.2,85.0
United Kingdom,Fantastic Beasts and Where to Find Them (film),fantasy film,1.0,English,2016-11-17,3.9,79.0,86209.0,6.9,74.0
United States of America,Doctor Strange (2016 film),superhero film,1.0,English,2016-07-08,4.1,86.0,106940.0,7.3,89.0
United States of America,Ben-Hur (2016 film),epic film,0.0,English,2016-08-25,3.3,53.0,18897.0,4.6,25.0
United States of America,Silence (2016 film),film based on literature,0.0,English,2016-12-22,3.6,69.0,24799.0,7.6,84.0
United States of America,The Accountant (2016 film),thriller film,1.0,English,2016-10-10,3.9,76.0,46130.0,5.7,52.0
United States of America,The Witch (2015 film),horror film,1.0,English,2015-01-01,3.2,57.0,40013.0,7.8,91.0
United States of America,Joy (film),biographical film,1.0,English,2015-01-01,3.4,57.0,46285.0,6.2,59.0
United States of America,Miss Peregrine's Home for Peculiar Children (film),adventure film,1.0,English,2016-10-06,3.5,60.0,38459.0,5.9,63.0
United States of America,Rogue One,space opera,1.0,English,2016-12-10,4.2,87.0,99786.0,7.5,85.0
United States of America,The BFG (2016 film),adventure film,0.0,English,2016-07-01,3.4,57.0,37747.0,6.8,75.0
United States of America,Deepwater Horizon (film),drama film,0.0,English,2016-01-01,3.9,82.0,45727.0,7.0,83.0
United States of America,Me Before You (film),drama film,1.0,English,2016-06-22,3.8,73.0,30191.0,5.6,56.0
United States of America,Frankenweenie (2012 film),horror film,1.0,English,2012-01-01,3.7,70.0,67473.0,7.5,87.0
United States of America,Four Rooms,comedy film,1.0,English,1995-12-25,3.4,69.0,55511.0,3.5,14.0
United States of America,Max Payne (film),crime film,1.0,English,2008-10-13,2.8,29.0,230579.0,3.8,16.0
Q142,Heartbreaker (2010 film),romantic comedy,1.0,French,2010-01-01,3.5,66.0,15543.0,6.7,69.0
United States of America,Primer (film),science fiction film,1.0,English,2004-10-08,3.7,79.0,46282.0,6.6,72.0
United States of America,Broadcast News (film),romantic comedy,1.0,English,1987-01-01,3.6,78.0,10878.0,8.2,98.0
United States of America,Planes (film),comedy film,1.0,English,2013-08-02,3.3,49.0,71968.0,4.6,25.0
United States of America,Kit Kittredge: An American Girl,children's film,1.0,English,2008-01-01,3.3,68.0,52523.0,6.7,79.0
Q142,Raising Victor Vargas,comedy-drama,1.0,English,2002-01-01,3.8,83.0,5942.0,8.0,96.0
United States of America,Space Station 3D,documentary film,1.0,English,2002-01-01,3.6,75.0,2778.0,6.9,87.0
United States of America,The Greatest Showman,biographical film,1.0,English,2017-12-20,4.4,87.0,22943.0,6.0,56.0
United States of America,"Everything, Everything (film)",romance film,1.0,English,2017-05-19,3.6,62.0,9325.0,5.4,46.0
United States of America,Terminator 3: Rise of the Machines,action film,1.0,English,2003-07-02,3.1,46.0,440957.0,6.6,70.0
United States of America,Rampage (2018 film),action film,1.0,English,2018-04-11,4.2,80.0,6511.0,5.4,52.0
United States of America,V for Vendetta (film),thriller film,1.0,English,2005-12-11,3.9,90.0,903220.0,6.8,73.0
United States of America,Star Wars: The Force Awakens,science fiction film,1.0,English,2015-12-16,4.3,87.0,227740.0,8.2,93.0
United States of America,Star Wars (film),space opera,1.0,English,1977-05-25,4.1,96.0,858665.0,8.6,93.0
United Kingdom,Moon (film),science fiction film,1.0,English,2009-01-23,4.0,89.0,100186.0,7.5,89.0
United Kingdom,Les MisÃ©rables (2012 film),musical film,1.0,English,2012-12-05,4.0,79.0,264761.0,6.9,69.0
United States of America,Goodfellas,biographical film,1.0,English,1990-01-01,4.3,97.0,428024.0,9.0,96.0
United States of America,Bambi,musical film,1.0,English,1942-08-14,3.4,72.0,599521.0,8.2,90.0
United Kingdom,Seven Psychopaths,comedy film,1.0,English,2012-01-01,3.7,71.0,129712.0,7.1,82.0
United States of America,A Good Day to Die Hard,action film,1.0,English,2013-02-14,3.0,40.0,117482.0,3.9,14.0
United States of America,Apollo 13 (film),docudrama,1.0,English,1995-06-30,3.6,87.0,432491.0,8.2,95.0
United States of America,Snow White and the Seven Dwarfs (1937 film),romance film,1.0,English,1937-12-21,3.4,78.0,469773.0,8.8,98.0
United States of America,Abduction (2011 film),action film,0.0,English,2011-01-01,3.0,42.0,44567.0,3.3,4.0
United States of America,Heaven's Gate (film),Western,0.0,English,1980-01-01,3.1,53.0,5407.0,6.2,57.0
Germany,Alien vs. Predator (film),action film,1.0,English,2004-08-13,3.0,39.0,430253.0,4.1,20.0
Q17,Kill Bill: Volume 1,action thriller,1.0,English,2003-01-01,3.4,81.0,32557476.0,7.7,85.0
United States of America,127 Hours,docudrama,1.0,English,2011-01-01,4.0,85.0,95536.0,8.3,93.0
United States of America,Beauty and the Beast (1991 film),romance film,1.0,English,1991-11-22,3.7,92.0,759503.0,8.5,94.0
United States of America,Memento (film),neo-noir,1.0,English,2000-09-05,4.1,94.0,379970.0,8.2,92.0
United States of America,Angels & Demons (film),mystery film,1.0,English,2009-01-01,3.4,57.0,531587.0,5.1,37.0
United States of America,The Green Mile (film),drama film,1.0,English,1999-12-06,4.1,94.0,812905.0,6.9,80.0
United States of America,The Thing (1982 film),horror film,1.0,Q9043,1982-01-01,3.9,92.0,131125.0,7.4,83.0
United States of America,Thor (film),action film,1.0,English,2011-04-27,3.8,76.0,245200.0,6.7,77.0
United States of America,Charlie and the Chocolate Factory (film),children's film,1.0,English,2005-07-10,3.0,51.0,32495264.0,7.2,82.0
United States of America,Rio (2011 film),fantasy film,1.0,English,2011-04-07,3.7,71.0,90067.0,6.4,72.0
United States of America,The Amazing Spider-Man (2012 film),action film,1.0,English,2012-06-28,3.9,77.0,814476.0,6.7,73.0
United States of America,Annie Hall,romantic comedy,1.0,English,1977-04-20,3.9,92.0,153267.0,8.9,97.0
United States of America,The Mummy: Tomb of the Dragon Emperor,fantasy film,1.0,English,2008-01-01,2.9,30.0,340567.0,3.7,13.0
United States of America,Waterworld,action film,1.0,English,1995-07-28,2.6,43.0,230372.0,5.2,42.0
Q142,Mulholland Drive (film),neo-noir,1.0,English,2001-05-06,3.7,87.0,188487.0,7.6,83.0
United States of America,Mission: Impossible III,action film,1.0,English,2006-04-24,3.4,69.0,508399.0,6.6,70.0
United States of America,Wall Street: Money Never Sleeps,drama film,1.0,English,2010-05-14,3.1,44.0,110688.0,6.0,54.0
United States of America,Absolute Power (film),political thriller,1.0,English,1997-02-14,3.2,52.0,32279.0,5.5,47.0
United States of America,Eraser (film),action film,1.0,English,1996-01-01,2.8,39.0,126649.0,5.0,36.0
United States of America,Lady Bird (film),comedy-drama,1.0,English,2017-01-01,4.0,79.0,19335.0,8.7,99.0
United States of America,It Comes at Night,horror film,1.0,English,2017-06-09,2.8,44.0,19106.0,7.4,88.0
Germany,Peaceful Warrior,drama film,0.0,English,2006-01-01,3.5,76.0,43018.0,4.7,25.0
United States of America,Uncle Buck,comedy-drama,1.0,English,1989-01-01,3.2,76.0,199802.0,5.9,61.0
United States of America,Anything Else,romantic comedy,0.0,English,2003-01-01,2.9,44.0,22030.0,5.2,40.0
United States of America,Night of the Living Dead,horror film,1.0,English,1968-01-01,3.8,87.0,130182.0,8.9,97.0
United States of America,Tron,action film,1.0,English,1982-07-09,3.4,69.0,72411.0,6.4,70.0
Q20,Trollhunter,fantasy film,1.0,Q9043,2010-10-29,3.6,71.0,22084.0,6.7,83.0
United States of America,Doubt (2008 film),drama film,1.0,English,2008-01-01,3.7,78.0,162359.0,7.0,79.0
United States of America,Hook (film),fantasy film,1.0,English,1991-01-01,3.3,76.0,730623.0,4.5,29.0
Germany,The Patriot (2000 film),war film,1.0,English,2000-01-01,3.6,81.0,422899.0,6.1,61.0
United States of America,August Rush,musical film,1.0,English,2007-01-01,3.9,82.0,229162.0,4.8,37.0
United Kingdom,The World's End (film),science fiction film,1.0,English,2013-07-10,3.7,71.0,92345.0,7.4,89.0
United States of America,Behind Enemy Lines (2001 film),action film,1.0,English,2001-01-01,3.2,62.0,321740.0,4.8,37.0
United Kingdom,State of Play (film),political thriller,1.0,English,2009-01-01,3.6,73.0,124198.0,7.0,84.0
United States of America,Commando (1985 film),action film,1.0,English,1985-01-01,3.1,67.0,137917.0,6.0,70.0
Q142,Bridget Jones's Diary (film),romantic comedy,0.0,English,2001-04-04,3.3,81.0,495666.0,6.9,80.0
United States of America,The Sitter,comedy film,1.0,English,2011-01-01,3.0,39.0,40717.0,4.3,22.0
United States of America,Beastly (film),romance film,1.0,English,2011-03-04,3.2,48.0,58043.0,3.7,20.0
United States of America,Jay and Silent Bob Strike Back,buddy film,1.0,English,2001-01-01,3.4,75.0,304063.0,5.6,53.0
United Kingdom,Wilde (film),biographical film,0.0,English,1997-01-01,3.5,72.0,9082.0,6.6,71.0
United States of America,Simone (2002 film),science fiction film,1.0,English,2002-01-01,2.8,35.0,5050.0,5.8,51.0
United States of America,Dante's Peak,disaster film,1.0,English,1997-01-01,2.7,38.0,238662.0,5.0,24.0
Q142,A Very Long Engagement,drama film,1.0,French,2004-01-01,3.9,85.0,65342.0,7.4,78.0
United States of America,The Nutty Professor (1996 film),romantic comedy,1.0,English,1996-06-27,2.9,44.0,601941.0,5.9,64.0
United States of America,The Core,action film,0.0,English,2003-04-03,2.7,33.0,100640.0,5.2,40.0
United States of America,Hell's Angels (film),war film,1.0,English,1930-01-01,3.4,60.0,2421.0,7.0,76.0
United States of America,Return to the Blue Lagoon,romance film,0.0,English,1991-01-01,2.8,41.0,15759.0,2.2,0.0
United States of America,Manhattan Murder Mystery,comedy film,0.0,English,1993-01-01,3.7,83.0,17996.0,6.9,93.0
United States of America,J. Edgar,biographical film,1.0,English,2011-11-03,3.1,44.0,39971.0,5.7,43.0
United States of America,The Vikings (1958 film),film based on literature,1.0,English,1958-01-01,3.5,73.0,5555.0,6.3,75.0
United States of America,The New Adventures of Pippi Longstocking,musical film,0.0,English,1988-01-01,3.2,69.0,8042.0,4.4,17.0
United States of America,Ice Station Zebra,action film,0.0,English,1968-01-01,3.2,58.0,4779.0,5.2,40.0
United States of America,The Wolf of Wall Street (2013 film),comedy film,1.0,English,2013-12-17,4.0,82.0,179346.0,7.8,78.0
United States of America,Spies Like Us,comedy film,1.0,English,1985-01-01,3.1,56.0,33727.0,4.4,32.0
Q142,Priceless (2006 film),romantic comedy,1.0,French,2006-01-01,3.7,75.0,24076.0,6.9,81.0
Q252,The Raid (2011 film),action film,1.0,Q9240,2011-09-08,4.1,87.0,52059.0,7.5,85.0
United States of America,I Think I Love My Wife,romantic comedy,1.0,English,2007-01-01,3.0,41.0,199455.0,4.6,19.0
Q16,Stan Helsing,comedy horror,0.0,English,2009-01-01,2.2,18.0,5985.0,2.7,17.0
United States of America,Sparkle (2012 film),musical film,1.0,English,2012-01-01,3.8,65.0,42276.0,5.7,58.0
United States of America,Hidden Figures,biographical film,1.0,English,2016-12-25,4.4,93.0,57504.0,7.6,93.0
United States of America,Transformers: The Last Knight,science fiction film,1.0,English,2017-06-21,3.0,45.0,38919.0,3.3,16.0
United States of America,Snatched (2017 film),comedy film,1.0,English,2017-05-12,2.5,30.0,16296.0,5.1,36.0
United States of America,Kick-Ass (film),action film,1.0,English,2010-03-12,3.9,81.0,285168.0,7.0,75.0
United Kingdom,Cleopatra (1963 film),biographical film,0.0,English,1963-06-12,3.4,69.0,20475.0,5.9,56.0
Germany,Basic (film),drama film,0.0,English,2003-01-01,3.2,63.0,56707.0,4.5,21.0
United States of America,To Rome with Love (film),romantic comedy,1.0,Q652,2012-01-01,3.0,40.0,29681.0,5.5,45.0
United States of America,The Fox and the Hound,buddy film,1.0,English,1981-07-10,3.5,78.0,313236.0,6.6,69.0
United States of America,Titanic (1997 film),disaster film,1.0,English,1997-11-01,3.3,69.0,35796812.0,8.0,88.0
United States of America,Deep Impact (film),science fiction film,1.0,English,1998-05-08,2.9,43.0,340618.0,5.8,49.0
Italy,A Fistful of Dollars,spaghetti western,1.0,Q652,1964-01-01,3.9,91.0,86442.0,8.2,98.0
Q258,Elysium (film),thriller film,1.0,English,2013-08-07,3.4,58.0,162596.0,6.5,67.0
United States of America,Pulp Fiction,comedy film,1.0,English,1994-05-12,4.2,96.0,1125029.0,9.1,94.0
United States of America,Lost in Translation (film),romantic comedy,1.0,English,2003-08-29,3.6,85.0,336493.0,8.4,95.0
United States of America,Silver Linings Playbook,drama film,1.0,English,2012-01-01,4.1,86.0,259743.0,8.2,92.0
Q142,Lemony Snicket's A Series of Unfortunate Events,children's film,1.0,English,2004-12-16,3.2,63.0,485072.0,6.7,71.0
United States of America,Duplex (film),comedy film,0.0,English,2003-01-01,2.9,40.0,72022.0,5.0,35.0
United States of America,Bullet to the Head,crime film,0.0,English,2012-01-01,3.0,39.0,27785.0,5.1,46.0
Q142,Resident Evil (film),action film,1.0,English,2002-01-01,3.4,67.0,446357.0,4.5,34.0
United States of America,He's Just Not That into You (film),romantic comedy,1.0,English,2009-01-01,3.4,59.0,433933.0,5.1,40.0
United States of America,What Women Want,romantic comedy,1.0,English,2000-01-01,3.1,54.0,628992.0,5.7,54.0
United States of America,Brokeback Mountain,romance film,1.0,English,2005-09-02,3.4,82.0,519352.0,8.2,87.0
United States of America,Batman Begins,action film,1.0,English,2005-06-15,3.9,94.0,1113004.0,7.7,84.0
United States of America,Jurassic Park (film),science fiction film,1.0,English,1993-06-11,3.6,91.0,1068771.0,8.3,92.0
United States of America,Toy Story,buddy film,1.0,English,1995-11-22,3.7,92.0,1108510.0,9.0,100.0
United States of America,Lady and the Tramp,romantic comedy,1.0,English,1955-06-16,3.5,80.0,860938.0,7.7,90.0
Q159,12 (2007 film),crime film,1.0,Q7737,2007-09-07,3.5,83.0,47343.0,6.8,76.0
United States of America,The Avengers (2012 film),action film,1.0,English,2011-07-15,4.4,91.0,1132394.0,8.0,92.0
United States of America,Indiana Jones and the Kingdom of the Crystal Skull,action film,1.0,English,2008-05-22,3.3,53.0,1320177.0,6.9,77.0
United States of America,No Country for Old Men (film),drama film,1.0,English,2007-11-09,4.0,86.0,397938.0,8.7,93.0
United Kingdom,The Shining (film),horror film,1.0,English,1980-05-23,4.0,93.0,479694.0,8.4,86.0
United States of America,The Dark Knight Rises,superhero film,1.0,English,2012-07-20,4.3,90.0,1209586.0,8.0,87.0
United States of America,Sin City (film),crime film,1.0,English,2005-04-01,3.3,78.0,32222346.0,7.4,77.0
United States of America,Breakfast at Tiffany's (film),romantic comedy,1.0,English,1961-01-01,3.9,91.0,242394.0,7.4,88.0
Q408,Moulin Rouge!,romantic comedy,1.0,English,2001-01-01,3.7,89.0,504908.0,7.1,76.0
United States of America,Bruce Almighty,comedy film,1.0,English,2003-05-23,3.3,57.0,33024043.0,5.7,49.0
Q17,The Ring (2002 film),horror film,1.0,English,2002-10-02,3.0,48.0,32459306.0,6.6,71.0
United States of America,War Horse (film),war film,1.0,English,2011-01-01,3.8,74.0,69457.0,7.0,76.0
United States of America,Scary Movie,teen film,1.0,English,2000-07-07,3.0,43.0,32581878.0,5.5,53.0
United States of America,As Good as It Gets,romantic comedy,1.0,English,1997-01-01,3.5,86.0,378353.0,7.2,84.0
United States of America,Dirty Dancing,romance film,1.0,English,1987-08-21,3.7,90.0,1054961.0,6.1,72.0
Q29,The Impossible (2012 film),disaster film,1.0,English,2012-01-01,4.0,84.0,48889.0,7.3,81.0
United States of America,Ice Age (2002 film),fantasy film,1.0,English,2002-03-15,3.6,82.0,1134504.0,6.8,77.0
United States of America,Conan the Barbarian (1982 film),action film,1.0,English,1982-04-02,3.1,74.0,131092.0,6.6,70.0
United States of America,The Mask of Zorro,action film,1.0,English,1998-01-01,3.3,72.0,375109.0,7.1,81.0
United States of America,"Good Night, and Good Luck",drama film,1.0,English,2005-10-07,3.6,83.0,142607.0,8.1,93.0
United States of America,The Great Mouse Detective,musical film,1.0,English,1986-07-02,3.4,79.0,58678.0,6.9,81.0
Q142,Moonraker (film),science fiction film,1.0,English,1979-06-26,3.0,43.0,57870.0,5.6,62.0
United Kingdom,Bend It Like Beckham,romantic comedy,1.0,English,2002-04-11,3.2,73.0,469641.0,7.2,85.0
United States of America,Naked Gun 33â…“: The Final Insult,comedy film,1.0,English,1994-01-01,2.9,53.0,125689.0,5.6,55.0
United States of America,Beverly Hills Chihuahua,comedy film,1.0,English,2008-10-03,3.1,51.0,186562.0,5.0,40.0
United States of America,300: Rise of an Empire,fantasy film,1.0,English,2014-03-04,3.3,51.0,140277.0,5.0,43.0
United States of America,Water for Elephants (film),drama film,1.0,English,2011-04-22,3.7,70.0,68213.0,6.1,60.0
United States of America,Planet of the Apes (2001 film),science fiction film,1.0,English,2001-07-27,2.7,27.0,366706.0,5.5,45.0
United States of America,Grumpy Old Men (film),romantic comedy,1.0,English,1993-01-01,3.2,74.0,154124.0,5.8,62.0
United Kingdom,The Girl with the Dragon Tattoo (2011 film),crime thriller,1.0,English,2011-12-12,4.1,86.0,118434.0,7.6,86.0
United States of America,Zookeeper (film),romantic comedy,1.0,English,2011-01-01,3.0,41.0,44619.0,3.4,14.0
United States of America,Anastasia (1997 film),comedy-drama,1.0,English,1997-11-21,3.3,77.0,432429.0,7.1,85.0
United States of America,Outbreak (film),drama film,1.0,English,1995-01-01,3.1,56.0,104777.0,5.6,59.0
United States of America,Lost in Space (film),action film,1.0,English,1998-04-03,2.5,24.0,173809.0,4.7,27.0
United States of America,The Hunt for Red October (film),thriller film,1.0,English,1990-03-02,3.6,88.0,172397.0,7.8,86.0
United States of America,The Room (film),romance film,0.0,English,2003-06-27,2.7,46.0,9280.0,2.9,26.0
United States of America,Tango & Cash,action film,1.0,English,1989-01-01,3.0,52.0,59972.0,4.3,33.0
United States of America,Lionheart (1990 film),action film,1.0,English,1990-01-01,3.0,52.0,15343.0,4.1,21.0
Q414,Wild Tales (film),comedy film,1.0,Q1321,2014-01-01,4.3,92.0,14064.0,8.0,95.0
United States of America,Fantastic Four (2015 film),superhero film,1.0,English,2015-01-01,2.1,18.0,137233.0,3.5,9.0
United States of America,While We're Young (film),comedy film,0.0,English,2014-01-01,3.2,51.0,20471.0,7.3,84.0
United States of America,Triple 9,heist film,0.0,English,2016-02-16,3.1,42.0,19564.0,5.8,53.0
United States of America,The Walk (2015 film),biographical film,1.0,English,2015-09-30,3.8,77.0,35883.0,7.2,84.0
United States of America,Sicario (2015 film),drama film,1.0,English,2015-09-18,4.0,85.0,66431.0,8.0,93.0
United States of America,Spotlight (film),drama film,1.0,English,2015-11-06,4.3,93.0,69134.0,8.8,97.0
Q408,The Dressmaker (2015 film),drama film,1.0,English,2015-01-01,3.6,66.0,9805.0,5.8,54.0
United States of America,The Nice Guys,mystery film,1.0,English,2016-01-01,3.8,79.0,55220.0,7.5,92.0
United States of America,The Martian (film),science fiction film,1.0,English,2015-10-01,4.3,91.0,130301.0,7.8,91.0
United States of America,Daddy's Home (film),comedy film,1.0,English,2015-12-09,3.3,49.0,43529.0,4.9,31.0
United States of America,The Good Dinosaur,comedy film,1.0,English,2014-05-30,3.6,65.0,58443.0,6.5,76.0
Q142,The Intouchables,comedy film,1.0,French,2011-09-23,4.3,93.0,44926.0,6.7,74.0
United States of America,101 Dalmatians (1996 film),children's film,0.0,English,1996-11-27,2.9,40.0,625152.0,5.3,37.0
United Kingdom,World War Z (film),action thriller,1.0,English,2013-06-02,3.7,72.0,304547.0,6.2,66.0
United States of America,Lincoln (film),war film,1.0,English,2012-10-08,4.0,80.0,245439.0,8.0,90.0
United States of America,Lilo & Stitch,buddy film,1.0,English,2002-06-21,3.3,77.0,466729.0,7.3,86.0
United States of America,Dumbo,buddy film,1.0,English,1941-10-23,3.3,70.0,431899.0,8.3,97.0
United States of America,Ghost (1990 film),romance film,1.0,English,1990-01-01,3.5,80.0,469342.0,6.8,74.0
United States of America,Looper (film),science fiction film,1.0,English,2012-01-01,4.0,82.0,179357.0,8.1,93.0
United States of America,Teenage Mutant Ninja Turtles (1990 film),action film,1.0,English,1990-03-30,3.3,80.0,251872.0,4.8,40.0
United States of America,"20,000 Leagues Under the Sea (1954 film)",science fiction film,0.0,English,1954-12-23,3.2,74.0,68837.0,7.7,89.0
United States of America,The Hobbit: An Unexpected Journey,fantasy film,1.0,English,2012-01-01,4.1,83.0,482300.0,6.5,65.0
United States of America,Back to the Future,science fiction film,1.0,English,1985-07-03,3.8,94.0,1092865.0,8.7,96.0
