country_of_origin,enwiki_title,genre,made_profit,original_language,publication_date,audience_average,audience_percent,audience_ratings,critic_average,critic_percent
United States of America,Split (2016 American film),thriller film,1.0,English,2017-01-20,3.8,78.0,51536.0,6.4,76.0
United States of America,Why Him?,comedy film,1.0,English,2016-12-17,3.3,51.0,22079.0,4.9,39.0
United States of America,Transcendence (2014 film),science fiction film,1.0,English,2014-01-01,2.9,37.0,64131.0,4.6,20.0
United States of America,Left Behind (2014 film),action film,1.0,English,2014-10-02,2.6,39.0,20464.0,2.1,1.0
United States of America,Avengers: Age of Ultron,science fiction film,1.0,English,2015-04-22,4.0,83.0,285561.0,6.7,75.0
United States of America,Fury (2014 film),war film,1.0,English,2014-10-15,4.0,84.0,106994.0,6.9,76.0
United States of America,Signs (film),science fiction film,1.0,English,2002-07-29,3.2,67.0,920780.0,6.8,74.0
United States of America,Avatar (2009 film),science fiction film,1.0,Q316939,2009-12-17,4.1,82.0,1381412.0,7.5,83.0
United States of America,Wreck-It Ralph,fantasy film,1.0,English,2012-10-29,4.1,86.0,237999.0,7.5,87.0
Q16,Apollo 18 (film),horror film,1.0,English,2011-09-01,2.4,23.0,42411.0,3.8,24.0
United States of America,Chasing Amy,romantic comedy,1.0,English,1997-01-01,3.5,83.0,196905.0,7.4,88.0
United States of America,Dogma (film),fantasy film,1.0,English,1999-01-01,3.6,85.0,362841.0,6.2,67.0
United Kingdom,The Eagle (2011 film),adventure film,1.0,English,2011-02-09,3.1,41.0,42552.0,5.3,39.0
United States of America,2001: A Space Odyssey (film),science fiction film,1.0,English,1968-04-02,3.8,89.0,297648.0,9.2,92.0
United States of America,Dr. Strangelove,black comedy,1.0,English,1964-01-29,4.2,94.0,208775.0,9.1,99.0
United States of America,The Great Dictator,comedy-drama,1.0,English,1940-10-15,4.2,95.0,43491.0,8.8,92.0
United States of America,Back to the Future Part II,science fiction film,1.0,English,1989-11-22,3.5,85.0,749397.0,6.2,64.0
United Kingdom,Slumdog Millionaire,romance film,1.0,English,2008-08-30,4.0,90.0,1155265.0,8.3,91.0
United States of America,Gran Torino,drama film,1.0,English,2008-12-12,4.1,90.0,331935.0,7.1,80.0
United States of America,Machete Kills,action film,0.0,Q1321,2013-09-19,2.9,34.0,36411.0,4.5,28.0
United States of America,Ghost World (film),female buddy film,1.0,English,2001-06-16,3.7,84.0,73290.0,7.8,92.0
Germany,Iron Sky,action film,1.0,English,2012-01-01,2.8,37.0,9994.0,4.4,36.0
United Kingdom,Black Book (film),war film,1.0,English,2006-09-01,4.0,87.0,37426.0,7.1,75.0
United States of America,Gosford Park,crime film,1.0,English,2001-01-01,3.5,78.0,48360.0,7.5,86.0
United States of America,Saving Private Ryan,war film,1.0,English,1998-07-24,4.0,95.0,991954.0,8.6,92.0
United States of America,Star Trek Into Darkness,action film,1.0,English,2013-05-09,4.2,90.0,312162.0,7.5,85.0
United States of America,The Shawshank Redemption,drama film,1.0,English,1994-09-10,4.4,98.0,884216.0,8.2,91.0
United States of America,Ben-Hur (1959 film),peplum film genre,1.0,English,1959-11-18,3.7,89.0,105944.0,7.8,86.0
United States of America,Tangled,musical film,1.0,English,2010-11-24,4.1,87.0,149697.0,7.5,89.0
United States of America,Batman Returns,neo-noir,1.0,English,1992-06-16,3.3,73.0,640438.0,6.7,81.0
United States of America,Cars 2,spy film,1.0,English,2011-06-18,3.3,49.0,103080.0,5.5,39.0
United Kingdom,Prometheus (2012 film),science fiction film,1.0,English,2012-05-30,3.6,68.0,262234.0,7.0,73.0
United States of America,From Dusk till Dawn,comedy horror,1.0,Q1321,1996-01-19,3.5,76.0,273332.0,6.0,63.0
United States of America,Roman Holiday,romantic comedy,1.0,English,1953-01-01,4.1,94.0,63126.0,8.4,98.0
United Kingdom,The Deer Hunter,war film,1.0,Q7737,1978-01-01,4.1,92.0,103096.0,8.6,94.0
United States of America,The Aviator (2004 film),biographical film,1.0,English,2004-12-14,3.4,79.0,207170.0,7.8,87.0
United States of America,Iron Man 2,action film,1.0,English,2010-04-29,3.7,72.0,478367.0,6.5,73.0
United Kingdom,The World Is Not Enough,spy film,1.0,English,1999-11-08,3.0,49.0,210078.0,5.7,51.0
United States of America,Bolt (2008 film),computer-animated film,0.0,English,2008-12-17,3.6,73.0,314996.0,7.2,89.0
United States of America,Moonrise Kingdom,romantic comedy,1.0,English,2012-05-16,4.1,86.0,138986.0,8.2,93.0
United States of America,Edward Scissorhands,romance film,1.0,English,1990-12-06,3.8,91.0,1032297.0,7.7,89.0
United States of America,Fahrenheit 9/11,documentary film,1.0,English,2004-05-17,3.3,69.0,207819.0,7.3,83.0
United States of America,Brewster's Millions (1985 film),comedy film,1.0,English,1985-01-01,3.1,55.0,38458.0,4.7,36.0
United States of America,First Blood,action film,1.0,English,1982-10-22,3.5,85.0,138647.0,7.1,88.0
United States of America,Passenger 57,action film,1.0,English,1992-01-01,2.9,37.0,56237.0,4.0,22.0
United States of America,The Breakfast Club,teen film,1.0,English,1985-01-01,3.9,92.0,555773.0,7.7,88.0
United States of America,Red Heat,crime film,1.0,English,1988-01-01,2.7,37.0,36968.0,5.5,62.0
United States of America,G.I. Jane,drama film,0.0,English,1997-01-01,3.0,53.0,159879.0,5.9,55.0
United States of America,Eight Below,adventure film,1.0,English,2006-02-17,3.4,78.0,374269.0,6.5,72.0
United States of America,Nutty Professor II: The Klumps,romantic comedy,1.0,English,2000-07-24,2.6,32.0,231616.0,4.4,26.0
United States of America,Mission: Impossible â€“ Ghost Protocol,action film,1.0,English,2011-12-15,3.9,76.0,472609.0,7.7,93.0
Q16,The Last Temptation of Christ (film),drama film,1.0,English,1988-08-12,3.7,84.0,35779.0,7.4,81.0
Q142,Tinker Tailor Soldier Spy (film),spy film,1.0,English,2011-09-05,3.5,65.0,53934.0,7.8,83.0
United Kingdom,The Young Victoria,biographical film,0.0,English,2009-03-06,3.5,74.0,164670.0,6.5,76.0
United States of America,Edge of Darkness (2010 film),action film,0.0,English,2010-01-01,2.8,49.0,542520.0,5.9,56.0
United States of America,Her (film),science fiction film,1.0,English,2013-10-12,4.0,82.0,100040.0,8.5,94.0
United States of America,Poseidon (film),action film,1.0,English,2006-05-12,2.9,43.0,342000.0,4.9,33.0
United Kingdom,Willy Wonka & the Chocolate Factory,fantasy film,1.0,English,1971-01-01,3.6,86.0,877539.0,7.7,91.0
United States of America,The Hunger Games: Mockingjay â€“ Part 2,science fiction film,1.0,English,2015-11-18,3.6,66.0,200708.0,6.5,70.0
United States of America,Pacific Rim Uprising,speculative fiction film,1.0,English,2018-03-21,3.1,45.0,30862.0,5.0,43.0
